,Country,Shots,Probability
0,India,One,0.1593503164338102
1,Sierra_Leone,One,0.4612146953568719
2,USA,One,0.046243354182866
3,USA,One,0.0998782629101812
4,India,One,0.083989285651755
5,France,One,0.81871037682653
6,Sierra_Leone,One,0.6425893808657229
7,Singapore,One,0.4417742729408548
8,India,One,0.1103037489644561
9,Singapore,One,0.1731738604965392
10,USA,One,0.4459039014414537
11,Singapore,One,0.30496964419618
12,France,One,0.2533035567720057
13,France,One,0.1728054078729907
14,Singapore,One,0.3656013896305165
15,Singapore,One,0.2329969839998825
16,USA,One,0.2795518191620406
17,France,One,0.138510533014325
18,France,One,0.252609545159044
19,Singapore,One,0.1505424428234807
20,Singapore,One,0.2206088658734155
21,France,One,0.2215044375860906
22,Sierra_Leone,One,0.5902921490577709
23,France,One,0.1020866995847869
24,Sierra_Leone,One,0.5246778757767816
25,USA,One,0.027781406067603
26,Singapore,One,0.2333046328880187
27,USA,One,0.179486111579881
28,India,One,0.0991633767485397
29,USA,One,0.4824379652100326
30,Singapore,One,0.6496714660215449
31,Sierra_Leone,One,0.3781501403935621
32,USA,One,0.220799771257916
33,Singapore,One,0.2225398286911986
34,France,One,0.8298245953212784
35,France,One,0.025456212983934
36,USA,One,0.1145494942387025
37,USA,One,0.2708708866429826
38,France,One,0.0819850147166317
39,India,One,0.1485889681157591
40,India,One,0.9197577248697648
41,Singapore,One,0.3473760745197322
42,France,One,0.1928838056717762
43,Sierra_Leone,One,0.7590210395203246
44,Sierra_Leone,One,0.5899637260100771
45,India,One,0.2167411396663877
46,India,One,0.1520766455944865
47,USA,One,0.1340936576576354
48,USA,One,0.2210249601659721
49,Sierra_Leone,One,0.1190977757580522
50,France,One,0.0800821488485464
51,Sierra_Leone,One,0.2703802924689146
52,Singapore,One,0.4021693557350727
53,Sierra_Leone,One,0.918587591988904
54,Sierra_Leone,One,0.2616622144660887
55,Sierra_Leone,One,0.21381130004331
56,India,One,0.3151486367146013
57,Sierra_Leone,One,0.2038461758873369
58,Singapore,One,0.3277198031404402
59,India,One,0.9091901073916352
60,Singapore,One,0.3401139666061912
61,France,One,0.1212258683996407
62,Singapore,One,0.3819418895547504
63,Singapore,One,0.3143567095659254
64,Singapore,One,0.2720467002987866
65,USA,One,0.1155941945431421
66,France,One,0.0914405285948014
67,India,One,0.1704337766535975
68,Singapore,One,0.308572364897174
69,USA,One,0.1786928858805699
70,Sierra_Leone,One,0.021433633292979
71,Singapore,One,0.1901159815113982
72,France,One,0.235637470647323
73,Sierra_Leone,One,0.5653945362466903
74,Sierra_Leone,One,0.0556566285901428
75,India,One,0.9034935679510826
76,Sierra_Leone,One,0.4511693531013401
77,USA,One,0.1963845055464895
78,Singapore,One,0.496160541641242
79,India,One,0.910776434958992
80,Sierra_Leone,One,0.3446633633923746
81,France,One,0.0291157395309908
82,Sierra_Leone,One,0.2870690641093727
83,India,One,0.1455167255490594
84,Singapore,One,0.2781628554584283
85,India,One,0.0205782447444581
86,Sierra_Leone,One,0.1767578979599217
87,Sierra_Leone,One,0.8118511549431835
88,India,One,0.5132854145258856
89,Sierra_Leone,One,0.4693335947386416
90,France,One,0.7411719654201809
91,USA,One,0.1783380090498062
92,Singapore,One,0.2571855468671074
93,Singapore,One,0.4994505079671605
94,USA,One,0.1497952527525566
95,Singapore,One,0.263184612413156
96,France,One,0.0192058355179577
97,Sierra_Leone,One,0.0841016186477921
98,India,One,0.0297350362017013
99,Singapore,One,0.3988266194831496
100,Singapore,One,0.1844423660549186
101,Singapore,One,0.3550668254797682
102,India,One,0.0476094963779267
103,Sierra_Leone,One,0.2043260157145431
104,India,One,0.0944789163975532
105,Sierra_Leone,One,0.2141091085643575
106,USA,One,0.1640094407306399
107,India,One,0.358596998644311
108,France,One,0.559367303664259
109,France,One,0.0368952184046165
110,Singapore,One,0.3713744454770954
111,Singapore,One,0.4034361370527236
112,Sierra_Leone,One,0.5723272622643297
113,Sierra_Leone,One,0.5295833249024442
114,Sierra_Leone,One,0.4159266650295846
115,Singapore,One,0.3900195702249426
116,Singapore,One,0.3318796886005752
117,USA,One,0.3801879989221535
118,India,One,0.8933892572382336
119,France,One,0.3944587093642284
120,USA,One,0.3646000909208772
121,Singapore,One,0.2611594372515293
122,Singapore,One,0.3659399253186675
123,India,One,0.023755643404812
124,Singapore,One,0.2819283176168218
125,USA,One,0.3902475734623719
126,USA,One,0.1349868355023725
127,USA,One,0.0300841733963368
128,Sierra_Leone,One,0.5235899147974656
129,USA,One,0.317293067192917
130,Singapore,One,0.5937142246390683
131,India,One,0.1367872141431891
132,France,One,0.2220037179789504
133,Singapore,One,0.5369637871863904
134,USA,One,0.4150079538779365
135,India,One,0.2000818598320595
136,France,One,0.1619500068147092
137,France,One,0.1579717875970542
138,India,One,0.2149802162812916
139,USA,One,0.1522697689049263
140,India,One,0.1298751023927803
141,Sierra_Leone,One,0.3141921657824116
142,France,One,0.4168649764715944
143,France,One,0.0352449425009253
144,USA,One,0.1915907259306404
145,Singapore,One,0.7727560668680896
146,India,One,0.2762936572817971
147,Singapore,One,0.3177097101907988
148,Singapore,One,0.2932104070874594
149,Singapore,One,0.2703313689586131
150,India,One,0.1278294488559588
151,France,One,0.2055203092293885
152,USA,One,0.1173199572785812
153,Sierra_Leone,One,0.4971214850746381
154,France,One,0.2681725139303902
155,Sierra_Leone,One,0.4612146953568719
156,India,One,0.0311576152214413
157,France,One,0.1986280920674524
158,Singapore,One,0.4910582667529496
159,France,One,0.6680098058112024
160,USA,One,0.2413556671994245
161,Sierra_Leone,One,0.4474472630496292
162,USA,One,0.1353817710344504
163,Singapore,One,0.2657868820064542
164,India,One,0.1884045617696217
165,India,One,0.2344153853306569
166,India,One,0.1391603696987662
167,USA,One,0.4597166175615202
168,USA,One,0.2175853681670473
169,India,One,0.1063491644882464
170,USA,One,0.1620111989128941
171,France,One,0.1311528165022121
172,Sierra_Leone,One,0.2577826773650527
173,USA,One,0.3972584580161675
174,USA,One,0.3158566982577239
175,India,One,0.0248623648156023
176,Sierra_Leone,One,0.6623527396998096
177,Singapore,One,0.3322203041077102
178,Singapore,One,0.3428030488483546
179,USA,One,0.1575005505106939
180,France,One,0.6825178551444965
181,Singapore,One,0.2635491801592394
182,France,One,0.1650745672331223
183,Sierra_Leone,One,0.1596502608717911
184,India,One,0.1404726030256978
185,Sierra_Leone,One,0.47991247177024
186,USA,One,0.1556123460973478
187,France,One,0.8645981575415745
188,USA,One,0.0647040186866806
189,France,One,0.1685756024312558
190,Sierra_Leone,One,0.4804695914605345
191,Sierra_Leone,One,0.4126750409767468
192,Singapore,One,0.3413849806609607
193,Singapore,One,0.3716435352386776
194,France,One,0.1389670573277332
195,Singapore,One,0.3456793388292101
196,France,One,0.0344436667391704
197,India,One,0.1118276297042638
198,Singapore,One,0.2531022587613039
199,France,One,0.2627609021839137
200,Sierra_Leone,One,0.1260458219680059
201,India,One,0.0416471595828496
202,Singapore,One,0.2761290224987003
203,Singapore,One,0.0505058897216385
204,Sierra_Leone,One,0.4994530681567518
205,France,One,0.231209005178882
206,France,One,0.7680043935835537
207,USA,One,0.4862755359354923
208,India,One,0.1182845741037573
209,France,One,0.6906867970893268
210,USA,One,0.5011322175623188
211,USA,One,0.3769850462347509
212,India,One,0.1275390903033995
213,India,One,0.1719426567452749
214,Singapore,One,0.1699071956100925
215,Sierra_Leone,One,0.70887185607026
216,Singapore,One,0.3686897135572829
217,Sierra_Leone,One,0.4021288944498044
218,Singapore,One,0.2877494013559667
219,Singapore,One,0.382508054468091
220,Sierra_Leone,One,0.5669456195142306
221,Sierra_Leone,One,0.8184331116035655
222,USA,One,0.5568887482094391
223,France,One,0.905658844407348
224,India,One,0.049829201520884
225,USA,One,0.1688281542005401
226,Singapore,One,0.4235123336256967
227,USA,One,0.289474646694522
228,Singapore,One,0.4890974282097156
229,Sierra_Leone,One,0.6614617784476734
230,India,One,0.1825393176440666
231,USA,One,0.1251430428088434
232,USA,One,0.1672846743564521
233,India,One,0.1267805546027241
234,France,One,0.2596706383510921
235,India,One,0.3379000006440982
236,India,One,0.1529502411800802
237,Sierra_Leone,One,0.1106808282329077
238,France,One,0.5878481591015189
239,France,One,0.8703146692695609
240,France,One,0.3252143195390278
241,India,One,0.529863322866757
242,India,One,0.00933137267693
243,USA,One,0.2574643566836919
244,India,One,0.0042118837072662
245,India,One,0.1191187332021429
246,India,One,0.682364178744841
247,India,One,0.9274683416784064
248,India,One,0.013708435574106
249,USA,One,0.197873362637771
250,Sierra_Leone,One,0.4897290451555705
251,USA,One,0.0412570625245772
252,India,One,0.0767065926883755
253,Singapore,One,0.4067116294742861
254,France,One,0.4573616963076257
255,Sierra_Leone,One,0.3885134315357698
256,Sierra_Leone,One,0.454431988012527
257,USA,One,0.0651929839929757
258,Sierra_Leone,One,0.4730496700213737
259,India,One,0.0242161606536691
260,USA,One,0.1042846515626432
261,USA,One,0.0478429665470745
262,USA,One,0.2957172954038225
263,France,One,0.191592210497023
264,India,One,0.2263685860820622
265,Singapore,One,0.3288662787965903
266,France,One,0.1374538698229626
267,Singapore,One,0.2441673325127102
268,France,One,0.1657821411595071
269,Sierra_Leone,One,0.1368656373377108
270,France,One,0.8071737449028521
271,India,One,0.0254454848392383
272,USA,One,0.1783263166820688
273,Singapore,One,0.4035715665642829
274,France,One,0.020512464264562
275,India,One,0.2143131152891723
276,Singapore,One,0.2976443363121639
277,Sierra_Leone,One,0.4183082026127021
278,India,One,0.1147647408871438
279,India,One,0.2424267956871166
280,Sierra_Leone,One,0.3621001058344265
281,Sierra_Leone,One,0.4345587670302014
282,USA,One,0.1814283413119614
283,Sierra_Leone,One,0.4355114909100292
284,France,One,0.3524538479075128
285,France,One,0.2952259000126533
286,India,One,0.1227198946820656
287,France,One,0.5790778167967758
288,Singapore,One,0.1389841546608313
289,France,One,0.1195080805529276
290,Sierra_Leone,One,0.4407406968866512
291,India,One,0.3014762208077057
292,India,One,0.1649950265428311
293,USA,One,0.2275241188791016
294,France,One,0.1782103274181261
295,Sierra_Leone,One,0.3682726326345596
296,Singapore,One,0.2586746829307112
297,Sierra_Leone,One,0.258263836651519
298,USA,One,0.0588297996192103
299,Singapore,One,0.2761105236831139
300,USA,One,0.0659782562320054
301,Singapore,One,0.2347756987902603
302,Singapore,One,0.3684745032249357
303,Singapore,One,0.2142291040121389
304,USA,One,0.2027542823925183
305,USA,One,0.0552872933537226
306,Sierra_Leone,One,0.231732867284328
307,Singapore,One,0.162692763598604
308,Singapore,One,0.1837489418895223
309,USA,One,0.2792938348050107
310,Sierra_Leone,One,0.4563793709676697
311,France,One,0.1196340572357259
312,France,One,0.1154741512939446
313,Sierra_Leone,One,0.4511446402240767
314,France,One,0.2727307396243945
315,Singapore,One,0.2856377792500912
316,Sierra_Leone,One,0.0264172760439336
317,India,One,0.294284284878192
318,France,One,0.1159507332523642
319,USA,One,0.0959841105250878
320,France,One,0.0727003255690629
321,India,One,0.1582121121129126
322,India,One,0.0364106882638771
323,France,One,0.0402322499806603
324,USA,One,0.2018136883253768
325,USA,One,0.4947132901696331
326,France,One,0.1924231292327002
327,Singapore,One,0.1760929652508292
328,Singapore,One,0.1669190809782056
329,India,One,0.9102930401633278
330,Sierra_Leone,One,0.6412372944351913
331,Sierra_Leone,One,0.33989910681168
332,France,One,0.0197262161125797
333,India,One,0.8820355553950165
334,USA,One,0.1661495621395033
335,France,One,0.1343637276275459
336,Sierra_Leone,One,0.3276248053722324
337,USA,One,0.2460471021277293
338,Singapore,One,0.2779445189306704
339,Sierra_Leone,One,0.7511285503285048
340,USA,One,0.3546892555405388
341,India,One,0.0354303966304227
342,India,One,0.0814517230775447
343,USA,One,0.2399220119715819
344,Singapore,One,0.1828929395348179
345,Singapore,One,0.2181267222183133
346,USA,One,0.4033304657900058
347,France,One,0.7257504176256725
348,USA,One,0.3430648910957168
349,Sierra_Leone,One,0.4440950972230202
350,India,One,0.2729473232357502
351,USA,One,0.1984269046810297
352,Singapore,One,0.3456658640142407
353,Sierra_Leone,One,0.4241122107654773
354,France,One,0.0421744168810182
355,Singapore,One,0.7940074023672097
356,India,One,0.3921706651556162
357,Sierra_Leone,One,0.0725538006629924
358,Sierra_Leone,One,0.432325631690382
359,Sierra_Leone,One,0.5834096820060075
360,USA,One,0.0701116905295665
361,USA,One,0.3909960477923349
362,USA,One,0.0875185713227875
363,Singapore,One,0.1891165696185913
364,Sierra_Leone,One,0.2722558276010875
365,Singapore,One,0.3733574520397175
366,USA,One,0.1024980826719374
367,India,One,0.1601167633076692
368,Sierra_Leone,One,0.4737677734450471
369,Sierra_Leone,One,0.4759673826119316
370,France,One,0.1614271210701469
371,India,One,0.1462724057172432
372,India,One,0.1356879786741034
373,India,One,0.1326808036795093
374,USA,One,0.302787089843066
375,Sierra_Leone,One,0.3667008100556571
376,USA,One,0.1323847279779506
377,Sierra_Leone,One,0.3178641977020368
378,USA,One,0.1153834166497321
379,Singapore,One,0.2264031028331728
380,Sierra_Leone,One,0.3094243320261658
381,Sierra_Leone,One,0.0754916428006359
382,France,One,0.3613517826564182
383,Singapore,One,0.4367253378516831
384,USA,One,0.1110019381727998
385,USA,One,0.3888487071909822
386,USA,One,0.4790668525419497
387,France,One,0.1690488377484711
388,India,One,0.1214867915377981
389,Singapore,One,0.336133246363377
390,Sierra_Leone,One,0.1377458299203969
391,Sierra_Leone,One,0.3807689257217749
392,Singapore,One,0.4034500122185462
393,USA,One,0.2307251330289541
394,Singapore,One,0.3025216911554828
395,Sierra_Leone,One,0.2759237945716443
396,USA,One,0.2327194786660864
397,Sierra_Leone,One,0.0729954819485029
398,Singapore,One,0.2342438968545636
399,USA,One,0.250344273888936
400,France,One,0.474751275801299
401,France,One,0.2400475170777896
402,France,One,0.8018078127747398
403,India,One,0.4448694935357066
404,Singapore,One,0.2216573775498944
405,India,One,0.0472798298353276
406,Singapore,One,0.376635663985387
407,France,One,0.8126321957832444
408,Singapore,One,0.430326141463363
409,India,One,0.0878697821104423
410,Sierra_Leone,One,0.1924539153293148
411,India,One,0.9214571799707784
412,India,One,0.0605570912931805
413,Singapore,One,0.3377285284394684
